epoch,versal,aie,sysmon_max,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1786330481.38,32.101,30.812,34.070,0.8025,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3150,1.2012,1.1013,0.0050,0.8788,1.2025,1.4938,-1.3723,4.7110,0.1176,0.0752,0.1669,0.1635,1.5265,0.1103,0.1440,0.0117,0.0215,0.5466,1.1657,-0.0000,0.1867,0.1699,0.0022,7.7470
1786330482.38,32.109,30.828,34.070,0.8025,0.8087,0.8000,0.8013,0.8000,0.8000,1.5025,1.4988,1.8013,1.7950,3.3150,1.2012,1.1000,0.0037,0.8788,1.2038,1.4925,-1.4204,4.7312,0.1112,0.0753,0.1672,0.1680,1.5386,0.1109,0.1441,0.0126,0.0249,0.5484,1.1638,-0.0000,0.1867,0.1715,0.0022,7.7361
1786330483.38,32.093,30.734,34.070,0.8037,0.8075,0.8000,0.8000,0.7988,0.8013,1.5025,1.4988,1.8000,1.7963,3.3138,1.2000,1.1000,0.0025,0.8775,1.2025,1.4938,-2.3389,4.7198,0.1136,0.0748,0.1669,0.1619,1.5273,0.1102,0.1449,0.0126,0.0232,0.5490,1.1649,-0.0000,0.1865,0.1699,0.0030,6.7894
1786330484.38,31.898,30.789,34.070,0.8037,0.8100,0.7988,0.8013,0.7975,0.8000,1.5025,1.4988,1.8025,1.7950,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,-2.0254,4.7466,0.1150,0.0753,0.1667,0.1664,1.5280,0.1109,0.1442,0.0135,0.0249,0.5490,1.1651,-0.0000,0.1856,0.1714,0.0030,7.1401
1786330485.38,31.953,30.906,34.070,0.8037,0.8087,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,-1.4468,4.7231,0.1134,0.0752,0.1669,0.1616,1.5378,0.1110,0.1449,0.0126,0.0232,0.5472,1.1668,-0.0000,0.1867,0.1699,0.0030,7.6965
1786330486.38,31.898,31.101,34.070,0.8037,0.8075,0.8000,0.8013,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3125,1.2000,1.1025,0.0025,0.8775,1.2025,1.4950,-2.2425,4.7198,0.1132,0.0753,0.1669,0.1596,1.5273,0.1110,0.1441,0.0135,0.0232,0.5454,1.1670,-0.0000,0.1865,0.1714,0.0030,6.8847
1786330487.38,32.023,30.710,34.070,0.8037,0.8100,0.7988,0.8000,0.7988,0.8000,1.5038,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,-1.6879,4.7385,0.1086,0.0752,0.1665,0.1608,1.5338,0.1103,0.1440,0.0126,0.0249,0.5454,1.1662,-0.0000,0.1856,0.1714,0.0030,7.4589
1786330488.38,31.867,30.828,34.070,0.8037,0.8087,0.7975,0.8000,0.8000,0.8013,1.5025,1.5000,1.7988,1.7963,3.3150,1.2000,1.1013,0.0050,0.8788,1.2025,1.4938,-1.5432,4.7191,0.1101,0.0752,0.1672,0.1526,1.5250,0.1103,0.1430,0.0117,0.0232,0.5460,1.1657,-0.0000,0.1867,0.1714,0.0030,7.5669
1786330489.38,31.851,30.726,34.070,0.8025,0.8100,0.7988,0.8013,0.7988,0.8025,1.5025,1.5012,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,-1.5890,4.7385,0.1134,0.0753,0.1665,0.1685,1.5303,0.1096,0.1432,0.0126,0.0232,0.5448,1.1657,-0.0000,0.1867,0.1700,0.0022,7.5617
1786330490.38,31.945,30.687,34.070,0.8037,0.8087,0.7988,0.8013,0.8000,0.8025,1.5025,1.4975,1.7988,1.7963,3.3150,1.1987,1.1025,0.0037,0.8788,1.2025,1.4938,-1.4226,4.7312,0.1094,0.0753,0.1672,0.1629,1.5250,0.1108,0.1448,0.0135,0.0232,0.5448,1.1670,-0.0000,0.1845,0.1714,0.0030,7.7114
1786330491.38,32.054,30.570,34.070,0.8037,0.8087,0.7988,0.8013,0.7975,0.8000,1.5025,1.5000,1.8000,1.7963,3.3138,1.2000,1.1013,0.0025,0.8788,1.2038,1.4938,-1.6397,4.7110,0.1134,0.0749,0.1659,0.1624,1.5348,0.1103,0.1449,0.0117,0.0249,0.5448,1.1662,-0.0000,0.1867,0.1730,0.0022,7.4875
1786330492.38,31.882,30.867,34.070,0.8037,0.8087,0.8000,0.8013,0.8000,0.8013,1.5012,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,-1.5191,4.7110,0.1160,0.0753,0.1664,0.1611,1.5253,0.1103,0.1450,0.0135,0.0249,0.5460,1.1651,-0.0000,0.1854,0.1715,0.0022,7.5998
1786330493.38,31.843,30.570,34.070,0.8025,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,-1.7575,4.7069,0.1080,0.0749,0.1673,0.1675,1.5371,0.1110,0.1440,0.0126,0.0232,0.5460,1.1657,-0.0000,0.1856,0.1729,0.0030,7.3681
1786330494.38,32.015,30.515,34.070,0.8037,0.8100,0.7988,0.8013,0.8000,0.8013,1.5025,1.5000,1.8013,1.7950,3.3138,1.2000,1.1013,0.0037,0.8775,1.2025,1.4950,-1.6638,4.7385,0.1142,0.0757,0.1668,0.1675,1.5273,0.1095,0.1450,0.0126,0.0249,0.5484,1.1657,-0.0000,0.1865,0.1699,0.0030,7.4915
1786330495.38,31.890,30.468,34.070,0.8050,0.8100,0.8000,0.8013,0.7988,0.8013,1.5025,1.5012,1.7988,1.7975,3.3150,1.2012,1.1025,0.0037,0.8788,1.2025,1.4938,-2.1252,4.7426,0.1136,0.0753,0.1665,0.1598,1.5386,0.1096,0.1448,0.0117,0.0215,0.5466,1.1681,0.0000,0.1867,0.1714,0.0022,7.0338
1786330496.38,32.000,30.703,34.070,0.8037,0.8087,0.8000,0.8000,0.7988,0.8000,1.5012,1.5012,1.8000,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,-2.2666,4.7271,0.1156,0.0752,0.1669,0.1628,1.5298,0.1103,0.1449,0.0126,0.0232,0.5544,1.1662,-0.0000,0.1856,0.1714,0.0037,6.8832
1786330497.38,32.265,30.656,34.070,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5038,1.5000,1.8000,1.7963,3.3138,1.2000,1.1025,0.0025,0.8775,1.2025,1.4938,-2.2425,4.7271,0.1088,0.0748,0.1673,0.1518,1.5293,0.1103,0.1431,0.0126,0.0232,0.5448,1.1675,-0.0000,0.1865,0.1714,0.0022,6.8783
1786330498.38,32.148,30.773,34.070,0.8037,0.8100,0.8000,0.8000,0.7988,0.8000,1.5025,1.5000,1.8025,1.7963,3.3150,1.2000,1.1013,0.0050,0.8762,1.2025,1.4938,-2.0978,4.7345,0.1160,0.0752,0.1665,0.3564,1.5258,0.1110,0.1451,0.0117,0.0249,0.5466,1.1662,-0.0000,0.1862,0.1714,0.0022,7.2418
1786330499.38,32.078,30.664,34.070,0.8037,0.8100,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7950,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,-2.3630,4.7345,0.1144,0.0749,0.1665,0.1703,1.5250,0.1110,0.1431,0.0126,0.0232,0.5448,1.1657,-0.0000,0.1878,0.1699,0.0022,6.7829
1786330500.38,31.843,31.000,34.070,0.8037,0.8100,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8013,1.7963,3.3138,1.2000,1.1000,0.0037,0.8775,1.2025,1.4938,-1.9290,4.7304,0.1148,0.0757,0.1669,0.1590,1.5378,0.1102,0.1441,0.0126,0.0249,0.5484,1.1643,-0.0000,0.1865,0.1684,0.0030,7.2180
1786330501.38,31.906,31.007,34.070,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5038,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8762,1.2038,1.4938,-1.7361,4.7433,0.1124,0.0749,0.1665,0.1582,1.5301,0.1095,0.1441,0.0117,0.0249,0.5448,1.1657,-0.0000,0.1862,0.1715,0.0030,7.4107
1786330502.38,32.101,30.617,34.070,0.8025,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0050,0.8775,1.2025,1.4938,-1.7575,4.7150,0.1112,0.0752,0.1669,0.1631,1.5333,0.1103,0.1432,0.0126,0.0249,0.5454,1.1657,-0.0000,0.1854,0.1699,0.0015,7.3659
1786330503.38,31.914,30.867,34.070,0.8025,0.8087,0.7988,0.8000,0.7988,0.8025,1.5012,1.5000,1.8025,1.7963,3.3125,1.2000,1.1000,0.0025,0.8800,1.2025,1.4950,-1.7575,4.7110,0.1126,0.0752,0.1665,0.1617,1.5245,0.1103,0.1442,0.0126,0.0232,0.5448,1.1649,-0.0000,0.1870,0.1714,0.0022,7.3546
1786330504.38,31.851,30.781,34.070,0.8037,0.8087,0.7988,0.7988,0.7988,0.8000,1.5025,1.5000,1.8013,1.7950,3.3138,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,-2.4354,4.7191,0.1122,0.0747,0.1665,0.1664,1.5310,0.1103,0.1432,0.0126,0.0232,0.5532,1.1657,0.0000,0.1867,0.1715,0.0030,6.7039
1786330505.38,31.984,31.250,34.070,0.8025,0.8087,0.7988,0.8013,0.7988,0.8025,1.5025,1.5012,1.8000,1.7975,3.3138,1.2012,1.1000,0.0037,0.8788,1.2012,1.4950,-1.5890,4.7271,0.1102,0.0749,0.1665,0.1565,1.5250,0.1103,0.1440,0.0117,0.0249,0.5466,1.1643,-0.0000,0.1856,0.1727,0.0030,7.5345
1786330506.38,32.015,30.640,34.070,0.8037,0.8087,0.7988,0.8000,0.8000,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2025,1.4938,-2.2907,4.7150,0.1130,0.0752,0.1668,0.1615,1.5341,0.1110,0.1432,0.0117,0.0249,0.5484,1.1670,-0.0000,0.1867,0.1714,0.0030,6.8421
1786330507.38,32.625,30.750,34.070,0.8037,0.8087,0.7988,0.8013,0.7988,0.8000,1.5038,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,-2.0978,4.7231,0.1174,0.0757,0.1665,0.1596,1.5286,0.1095,0.1432,0.0135,0.0232,0.5454,1.1657,-0.0000,0.1856,0.1714,0.0030,7.0336
1786330508.38,31.968,30.531,34.070,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7950,3.3138,1.2000,1.1025,0.0037,0.8775,1.2038,1.4938,-1.8326,4.7231,0.1148,0.0757,0.1665,0.1659,1.5363,0.1118,0.1440,0.0117,0.0232,0.5460,1.1664,-0.0000,0.1876,0.1700,0.0030,7.3134
1786330509.38,31.921,30.710,34.070,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.4988,1.8013,1.7963,3.3150,1.2000,1.1013,0.0025,0.8775,1.2038,1.4938,-2.2907,4.7231,0.1114,0.0752,0.1669,0.1663,1.5280,0.1102,0.1441,0.0126,0.0232,0.5484,1.1657,-0.0000,0.1854,0.1715,0.0030,6.8443
1786330510.38,32.000,30.507,34.070,0.8037,0.8100,0.8000,0.8000,0.7988,0.8025,1.5012,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0025,0.8775,1.2025,1.4938,-1.9290,4.7223,0.1148,0.0752,0.1665,0.1645,1.5260,0.1103,0.1449,0.0117,0.0232,0.5454,1.1646,-0.0000,0.1854,0.1714,0.0022,7.1993
