n_inst,tiles,agg_ev_s,per_inst_ev_s,invoc_ms
1,12,10142.0,10142.0,0.0986
2,24,17433.8,8716.9,0.1147
4,48,27107.4,6776.9,0.1476
5,60,31312.6,6262.5,0.1597
6,72,34326.9,5721.2,0.1748
