epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789134211.60,32.695,30.625,35.273,30.187,29.507,30.367,29.375,30.210,29.921,30.273,29.937,30.710,29.640,30.164,30.523,0.8025,0.8087,0.7988,0.8000,0.7988,0.8025,1.5025,1.5012,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8775,1.2025,1.4950,0.7704,4.7352,0.1146,0.0756,0.1669,0.1677,1.5356,0.1096,0.1441,0.0126,0.0249,0.5460,1.1675,-0.0000,0.1854,0.1699,0.0030,9.9290
1789134212.60,32.421,30.773,35.273,30.382,29.343,29.906,29.109,30.125,30.531,30.085,29.703,30.523,30.406,29.750,30.750,0.8037,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3138,1.2000,1.1000,0.0025,0.8788,1.2025,1.4938,0.9163,4.7426,0.1152,0.0752,0.1669,0.1667,1.5220,0.1118,0.1431,0.0126,0.0232,0.5448,1.1655,-0.0000,0.1856,0.1699,0.0030,10.0642
1789134213.60,32.312,30.625,35.273,29.820,29.234,29.898,29.218,30.179,29.929,30.132,30.140,30.781,30.062,30.179,30.617,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.4988,1.8025,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4963,1.3021,4.7352,0.1130,0.0757,0.1665,0.1619,1.5295,0.1102,0.1442,0.0126,0.0232,0.5460,1.1662,-0.0000,0.1867,0.1699,0.0030,10.4459
1789134214.60,32.390,30.742,35.273,29.593,29.156,30.054,28.914,30.179,30.054,30.234,30.070,30.671,29.976,30.250,30.578,0.8025,0.8100,0.7988,0.8000,0.7988,0.8025,1.5025,1.5000,1.8000,1.7950,3.3150,1.2012,1.1013,0.0037,0.8800,1.2038,1.4938,1.0834,4.7385,0.1126,0.0752,0.1673,0.1669,1.5220,0.1118,0.1431,0.0126,0.0265,0.5472,1.1668,-0.0000,0.1870,0.1700,0.0030,10.2339
1789134215.60,32.390,30.617,35.273,30.234,28.742,30.421,29.632,30.078,30.304,30.437,30.125,30.734,30.148,30.468,30.632,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.4988,1.8025,1.7963,3.3150,1.2000,1.1013,0.0050,0.8788,1.2038,1.4938,1.0368,4.7312,0.1202,0.0756,0.1673,0.1566,1.5333,0.1094,0.1442,0.0126,0.0232,0.5454,1.1662,-0.0000,0.1856,0.1715,0.0037,10.1830
1789134216.61,32.375,30.625,35.273,30.203,29.046,30.125,29.015,29.921,29.632,29.890,29.679,30.585,29.695,30.031,30.757,0.8037,0.8087,0.8000,0.8013,0.7988,0.8000,1.5025,1.5000,1.8000,1.7963,3.3138,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,1.2780,4.7676,0.1120,0.0757,0.1673,0.4560,1.5341,0.1095,0.1440,0.0126,0.0232,0.6924,1.1662,-0.0000,0.1867,0.1699,0.0022,10.8974
1789134217.61,32.296,30.882,35.273,29.820,29.015,29.921,29.023,30.164,29.945,29.828,30.281,30.625,29.976,29.937,30.585,0.8037,0.8087,0.8000,0.8013,0.7988,0.8025,1.5025,1.5000,1.8013,1.7950,3.3138,1.2000,1.1013,0.0037,0.8775,1.2025,1.4938,0.6993,4.7676,0.1168,0.0761,0.1665,0.4795,1.5243,0.1110,0.1441,0.0135,0.0232,1.0218,1.1657,-0.0000,0.1865,0.1699,0.0022,10.6679
1789134218.61,32.281,30.773,35.273,29.718,29.210,30.093,29.476,30.328,30.265,30.132,30.406,30.390,29.906,30.062,30.570,0.8025,0.8100,0.7975,0.8013,0.7988,0.8013,1.5025,1.5012,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,0.9389,4.7264,0.1120,0.0753,0.1669,0.3730,1.5356,0.1103,0.1440,0.0117,0.0232,0.5490,1.1662,-0.0000,0.1878,0.1700,0.0030,10.2934
1789134219.61,32.109,30.648,35.273,30.070,29.367,30.132,29.625,30.492,29.890,29.968,30.085,30.875,29.867,30.187,30.742,0.8025,0.8113,0.8000,0.8000,0.7988,0.8000,1.5012,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4950,0.7945,4.7499,0.1128,0.0752,0.1665,0.3744,1.5238,0.1110,0.1431,0.0117,0.0249,0.5478,1.1662,-0.0000,0.1865,0.1700,0.0030,10.1612
1789134220.61,32.585,30.593,35.273,29.742,29.507,30.085,29.335,29.742,30.390,29.960,30.125,30.273,30.046,30.226,30.859,0.8025,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7950,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,0.2648,4.7231,0.1138,0.0753,0.1661,0.3674,1.5235,0.1118,0.1441,0.0135,0.0232,0.5472,1.1657,-0.0000,0.1856,0.1684,0.0030,9.5965
1789134221.61,32.281,30.703,35.273,30.039,29.273,29.718,29.382,30.039,29.804,29.890,30.476,31.000,29.945,30.140,30.765,0.8037,0.8087,0.7988,0.8000,0.7975,0.8000,1.5025,1.5012,1.8025,1.7963,3.3138,1.2000,1.1013,0.0050,0.8788,1.2025,1.4938,0.9645,4.7110,0.1146,0.0760,0.1663,0.3692,1.5250,0.1103,0.1442,0.0108,0.0232,0.5484,1.1657,-0.0000,0.1856,0.1714,0.0030,10.2892
1789134222.61,32.437,30.789,35.273,30.109,29.320,30.195,29.109,30.382,29.906,29.921,29.976,30.664,29.812,30.054,29.898,0.8025,0.8087,0.7988,0.8000,0.8000,0.8013,1.5025,1.5012,1.8000,1.7963,3.3138,1.2000,1.1025,0.0025,0.8788,1.2038,1.4938,0.3371,4.7271,0.1118,0.0752,0.1676,0.3638,1.5250,0.1118,0.1440,0.0126,0.0232,0.5496,1.1670,-0.0000,0.1867,0.1700,0.0015,9.6741
1789134223.61,32.398,30.812,35.273,30.140,29.726,30.585,29.179,30.164,30.210,30.179,30.210,30.476,29.812,29.460,30.687,0.8025,0.8075,0.8000,0.8025,0.7975,0.8013,1.5025,1.5000,1.7988,1.7963,3.3150,1.2000,1.1025,0.0050,0.8775,1.2050,1.4925,0.3852,4.7441,0.1160,0.0758,0.1671,0.4423,1.5265,0.1110,0.1448,0.0126,0.0232,0.6930,1.1675,-0.0000,0.1865,0.1717,0.0022,9.9695
1789134224.62,32.820,30.812,35.273,29.859,29.523,30.664,29.625,30.171,30.015,29.710,29.773,30.312,29.851,29.960,30.773,0.8037,0.8087,0.7988,0.8013,0.7988,0.8000,1.5012,1.5000,1.8000,1.7963,3.3138,1.2000,1.1025,0.0037,0.8788,1.2038,1.4938,1.7602,4.7352,0.1126,0.0753,0.1669,0.4276,1.5275,0.1110,0.1440,0.0126,0.0249,0.9630,1.1675,-0.0000,0.1867,0.1715,0.0030,11.5897
1789134225.62,32.531,30.992,35.273,30.140,29.203,30.242,28.773,30.265,30.234,30.328,30.187,30.953,30.109,29.820,30.460,0.8037,0.8087,0.8000,0.8000,0.7988,0.8000,1.5025,1.5000,1.7988,1.7963,3.3163,1.2000,1.1013,0.0025,0.8762,1.2038,1.4938,0.7475,4.7231,0.1176,0.0748,0.1669,0.3660,1.5295,0.1095,0.1439,0.0126,0.0232,0.5484,1.1657,-0.0000,0.1862,0.1715,0.0022,10.0887
