n_inst,tiles,agg_ev_s,per_inst_ev_s,invoc_ms
1,12,10080.6,10080.6,0.0992
2,24,17453.5,8726.8,0.1146
4,48,27138.9,6784.7,0.1474
5,60,30218.6,6043.7,0.1655
8,96,37753.7,4719.2,0.2119
16,192,47620.5,2976.3,0.3360
24,288,51959.2,2165.0,0.4619
