kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
aie_stream_top,1,30,0.06645,0.06677,66.450,3/3
aie_stream_top,2,30,0.07148,0.07191,35.740,6/6
aie_stream_top,4,30,0.08130,0.08174,20.325,12/12
aie_stream_top,8,30,0.10262,0.10309,12.828,24/24
aie_stream_top,16,30,0.14467,0.14504,9.042,48/48
aie_stream_top,32,30,0.22406,0.22446,7.002,96/96
aie_stream_top,64,30,0.38309,0.38372,5.986,192/192
aie_stream_top,128,30,0.70090,0.70197,5.476,384/384
aie_stream_top,256,30,1.33574,1.33795,5.218,768/768
SWEEP_DONE
