kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
aie_stream_top,1,30,0.06552,0.07292,65.520,3/3
aie_stream_top,2,30,0.07154,0.07811,35.770,6/6
aie_stream_top,4,30,0.08182,0.08884,20.455,12/12
aie_stream_top,8,30,0.10629,0.11040,13.286,24/24
aie_stream_top,16,30,0.14973,0.15479,9.358,48/48
aie_stream_top,32,30,0.24459,0.24495,7.643,96/96
aie_stream_top,64,30,0.41829,0.41897,6.536,192/192
aie_stream_top,128,30,0.76439,0.76680,5.972,384/384
aie_stream_top,256,30,1.46214,1.46276,5.711,768/768
SWEEP_DONE
