kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
candb_top,1,30,0.06394,0.06430,63.940,48/48
candb_top,2,30,0.07627,0.07778,38.135,96/96
candb_top,4,30,0.10214,0.10278,25.535,192/192
candb_top,8,30,0.15606,0.15766,19.508,384/384
candb_top,16,30,0.26324,0.26598,16.452,768/768
candb_top,32,30,0.47603,0.47847,14.876,1536/1536
candb_top,64,30,0.90306,0.90384,14.110,3072/3072
candb_top,128,30,1.75155,1.75409,13.684,6144/6144
candb_top,256,30,3.45266,3.45416,13.487,12288/12288
SWEEP_DONE
