n_inst,tiles,agg_ev_s,per_inst_ev_s,invoc_ms
1,15,21123.8,21123.8,0.0473
2,30,29926.7,14963.3,0.0668
4,60,42096.4,10524.1,0.0950
5,75,42996.0,8599.2,0.1163
8,120,50216.6,6277.1,0.1593
16,240,55916.7,3494.8,0.2861
20,300,57107.0,2855.3,0.3502
